codigo;descripcion;Codigo Proved;Medida;Marca;Costo;Ganancia;total;INV INICIAL;pedidos;inv real;PEDIDOS;;;;;;;;;;;;
31210-35100;PLATO EMBRAGUE 2L-T HILUX ;CTX-062;239X149 264;AISIN/JAPON;B/.23.80;B/.7.14;B/.30.94;3;1;2;;;;;;;;;;;;;
31210-35121 ;PLATO EMBRAGUE 3L;CTX-064 ;239X149 271;AISIN/JAPON;B/.32.42;B/.9.73;B/.42.15;4;;4;;;;;;;;;;;;;
31210-36160;PLATO EMBRAGUE 14B                          ;CTX-084 ;278X168 311;AISIN/JAPON;B/.43.98;B/.13.19;B/.57.17;3;1;2;;;;;;;;;;;;;
31210-16080;PLATO EMBRAGUE 4AG 215X137 250;CTX-088 ;218X137 250;AISIN/JAPON;B/.25.50;B/.7.65;B/.33.15;2;;2;;3;;;;;;;;;;;
31210-60170;PLATO EMBRAGUE 1KZ/4 RUNNER;CTX-104 ;263X168 298;AISIN/JAPON;B/.59.67;B/.17.90;B/.77.57;3;1;2;;;;;;;;;;;;;
31210-0K040;PLATO EMBRAGUE 1KD 3.0L DIESEL ;CTX-124 ;260X168 298;AISIN/JAPON ;B/.65.71;B/.19.71;B/.85.42;4;3;1;1;;;;;;;;;;;;
31210-35260;PLATO EMBRAGUE 1KZ KZJ90 96 ;CTX-125 ;263X168 298;AISIN/JAPON;B/.63.00;B/.18.90;B/.81.90;5;5;0;;;;;;;;;;;;;
31210-12330;PLATO EMBRAGUE ZRE141/171 2010;CTX-149;218X137 250;AISIN/JAPON;B/.41.70;B/.12.51;B/.54.21;;;0;;;;;;;;;;;;;
31210-52130 ;PLATO EMBRAGUE NRE150/180 CORO;CTX-166 ;203X137 237    ;AISIN/JAPON;B/.25.20;B/.7.56;B/.32.76;1;1;0;;;;;;;;;;;;;
MD-802081;DISCO EMBRAGUE 4G32/33 DELICA ;DM-014U;200X130 20X22;AISIN/JAPON;B/.21.25;B/.6.38;B/.27.63;8;6;2;;;;;;;;;;;;;
MD-802131;DISCO EMBRAGUE G54B/63B/4D55;DM-035 ;225X150 23X26.2 ;EXEDY/JAPON;B/.25.40;B/.7.62;B/.33.02;8;;8;;;;;;;;;;;;;
30100-H5000;DISCO EMBRAGUE A12/14/15 ;DN-004 ;180X125 18X20.6 ;AISIN/JAPON;B/.15.06;B/.4.52;B/.19.58;15;5;10;;;;;;;;;;;;;
30100-52A01;DISCO EMBRAGUE E16/B12 SENTRA;DN-027 ;190X132 18X20.6 ;AISIN/JAPON;B/.18.10;B/.5.43;B/.23.53;8;4;4;;;;;;;;;;;;;
30100-43G10;DISCO EMBRAGUE TD27;DN-047 ;240X160 24X25.6 ;AISIN/JAPON;B/.24.50;B/.7.35;B/.31.85;20;;20;;;;;;;;;;;;;
30100-88G00;DISCO EMBRAGUE VG30/30T 01G10;DN-063 ;250X160 24X25.6 ;AISIN/JAPON;B/.33.80;B/.10.14;B/.43.94;12;;12;;;;;;;;;;;;;
30100-T1000;DISCO EMBRAGUE SD22/H20;DN-073 ;225X150 24X25.6;AISIN/JAPON;B/.19.30;B/.5.79;B/.25.09;12;;12;;;;;;;;;;;;;
22400-57B01   ;DISCO EMBRAGUE G;DS-023 ;215X150 20X22.3 ;AISIN/JAPON;B/.21.60;B/.6.48;B/.28.08;;;;1;;;;;;;;;;;;
31250-22101;DISCO EMBRAGUE 20/22R/L/2L OFC;DT-036 ;224X150 21X29.8 ;AISIN/JAPON     ;B/.19.10;B/.5.73;B/.24.83;2;;2;;;;;;;;;;;;;
31250-36290;DISCO EMBRAGUE 22R/3Y;DT-064 ;236X150 21X29.8;AISIN/JAPON     ;B/.31.90;B/.9.57;B/.41.47;3;;3;;;;;;;;;;;;;
31250-36113            ;DISCO EMBRAGUE B/2B/3B 78-ON;DT-072 ;260X170 21X28.8 ;AISIN/JAPON;B/.34.90;B/.10.47;B/.45.37;5;9;-4;;;;;;;;;;;;;
31250-12081;DISCO EMBRAGUE 3A/3T/EL53;DT-123V;200X140 21X24;AISIN/JAPON;B/.15.50;B/.4.65;B/.20.15;10;;10;;;;;;;;;;;;;
31250-12153;DISCO EMBRAGUE 4A COROLLA;DT-124V ;212X140 21X24;AISIN/JAPON;B/.19.20;B/.5.76;B/.24.96;6;;6;;;;;;;;;;;;;
31250-0K204;DISCO EMBRAGUE HILUX 05 DIESEL;DT-628/DT-164U         ;;AISIN/JAPON     ;B/.57.37;B/.17.21;B/.74.58;6;4;2;;;;;;;;;;;;;
31250-37070 ;DISCO EMBRAGUE 14B TOYOTA                   ;DTX-116 ;275X175X 21X29 ;AISIN/JAPON     ;B/.54.70;B/.16.41;B/.71.11;8;4;4;;;;;;;;;;;;;
31250-36492;DISCO EMBRAGUE FZJ70/1HZ MACHI ;DTX-133;275X175 14X32;AISIN/JAPON     ;B/.58.90;B/.17.67;B/.76.57;12;3;9;;;;;;;;;;;;;
31250-26171;DISCO EMBRAGUE KZJ90 T.KDJ90 ;DTX-146 ;260X170X21X29;AISIN/JAPON     ;B/.54.30;B/.16.29;B/.70.59;4;2;2;;;;;;;;;;;;;
MD-701154;DISCO EMBRAGUE G11B/12B LANCER;DZ-003 ;184X127 20X22.4 ;AISIN/JAPON ;B/.13.65;B/.4.10;B/.17.75;8;2;6;;;;;;;;;;;;;
16210-30010-AISIN;FAN CLUTCH 1KDFTV/2KDFTV KDJ12;FCT-070;;AISIN/JAPON;B/.53.30;B/.15.99;B/.69.29;10;;10;;;;;;;;;;;;;
16210-17080-AISIN      ;FAN CLUTCH 1HZ HZB50 99-;FCT-074;;AISIN/JAPON;B/.46.90;B/.14.07;B/.60.97;10;;10;;;;;;;;;;;;;
31250-12153-K          ;JGO.DISCO Y PLATO/BAL.4A/4AF;KIT DE EMBRAGUE 4A;;AISIN/JAPON;B/.52.00;B/.15.60;B/.67.60;4;1;3;;;;;;;;;;;;;
ME-520657-E;DISCO EMBRAGUE 6D14/4D34 ;MFD004;300X190 14X35.2 ;AISIN/JAPON;B/.108.00;B/.32.40;B/.140.40;10;2;8;;;;;;;;;;;;;
30210-02N00-E;PLATO EMBRAGUE TD23/27                     ;NSC545;240X160 280;AISIN/JAPON;B/.49.50;B/.14.85;B/.64.35;2;1;1;;;;;;;;;;;;;
30100-07N62-E ;DISCO EMBRAGUE NA20;NSD036;240X150 24X25.6 ;AISIN/JAPON ;B/.25.40;B/.7.62;B/.33.02;2;1;1;;;;;;;;;;;;;
NTK-245-T;JGO.CADENA/TIEMPO YD25DDTI 05-;NTK-245 ;NAVARA 16VAL.;AISIN/JAPON;B/.132.10;B/.39.63;B/.171.73;4;;4;;;;;;;;;;;;;
15100-22040;"BOMBA ACEITE 1/3ZZFE ZZE122 00	";OPT-044 OPT-800;;AISIN/JAPON;B/.31.62;B/.9.49;B/.41.11;2;4;-2;;;;;;;;;;;;;
15100-37030-AISIN      ;"BOMBA ACEITE 2/3ZRFE ZSA42/ZRE	";OPT-113;;AISIN/JAPON;B/.32.40;B/.9.72;B/.42.12;2;2;0;;;;;;;;;;;;;
30210-JS10B-E;PLATO EMBRAGUE NAVARA D40T F6              ;S-NSC652 ;250X160 280;AISIN/JAPON;B/.74.41;B/.22.32;B/.96.73;1;1;0;;;;;;;;;;;;;
22100-60A00-E ;PLATO EMBRAGUE G ;SZC517;200X140 247;EXEDY/JAPON;B/.22.30;B/.6.69;B/.28.99;;;0;1;;;;;;;;;;;;
11301-17030;CARCAZA B/ACEITE 1HZ/1HDFT;TCT-003 OPT-P015;;AISIN/JAPON ;B/.90.70;B/.27.21;B/.117.91;2;;2;;;;;;;;;;;;;
MD-050450-AISIN;BOMBA AGUA 4D55 MONTERO 80-ON   ;WPM-002A;;AISIN/JAPON;B/.29.30;B/.8.79;B/.38.09;2;;2;;;;;;;;;;;;;
MD-323372-AISIN ;BOMBA AGUA G13/15 LANCER 95-;WPM-055VA ;;AISIN/JAPON;B/.18.80;B/.5.64;B/.24.44;4;;4;;;;;;;;;;;;;
1300A045-AISIN ;BOMBA AGUA 4D56 SPORTERO 05;WPM-068V  ;;AISIN/JAPON;B/.25.40;B/.7.62;B/.33.02;2;;2;;;;;;;;;;;;;
